City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,arraial do cabo,-22.9661,-42.0278,27.98,74,75,2.06,BR,1674578756
84,erzin,36.9559,36.2,12.1,53,1,2.43,TR,1674579084
85,tuktoyaktuk,69.4541,-133.0374,-23.0,77,100,5.66,CA,1674578876
86,sorong,-0.8833,131.25,26.57,81,100,3.2,ID,1674579085
87,dukat,62.55,155.55,-25.93,98,100,1.52,RU,1674579086
88,havre,49.5833,0.3333,3.44,86,100,2.06,FR,1674579086
89,camana,-16.6228,-72.7111,24.56,76,70,3.82,PE,1674579088
90,waverly,42.7392,-84.6208,1.19,74,0,7.2,US,1674579088
91,palmer,42.1584,-72.3287,4.25,72,75,5.14,US,1674579089
92,bredasdorp,-34.5322,20.0403,18.51,48,88,7.05,ZA,1674578783
93,shasta lake,40.6804,-122.3708,10.4,62,9,2.75,US,1674579002
94,yellowknife,62.456,-114.3525,-14.71,85,100,4.12,CA,1674578696
95,yaan,7.3833,8.5667,35.79,12,77,2.78,NG,1674579090
96,vaini,-21.2,-175.2,25.09,94,20,2.06,TO,1674579091
97,ostrovnoy,68.0531,39.5131,-3.57,78,7,11.35,RU,1674579005
98,roma,43.2128,-75.4557,1.57,83,100,4.63,US,1674579091
99,fortuna,40.5982,-124.1573,3.51,93,0,4.63,US,1674578710
100,klaksvik,62.2266,-6.589,8.51,94,100,14.25,FO,1674578969
101,ust-nera,64.5667,143.2,-40.88,99,54,0.79,RU,1674579092
102,ewa beach,21.3156,-158.0072,21.34,88,0,1.54,US,1674579093
103,tevaitoa,-16.7833,-151.5,27.45,71,100,6.51,PF,1674578835
104,tiznit,29.5833,-9.5,14.8,37,0,3.25,MA,1674578887
105,zhiryatino,53.2228,33.7306,-3.82,66,1,0.56,RU,1674579094
106,pisco,-13.7,-76.2167,23.9,78,0,3.6,PE,1674579094
107,chabahar,25.2919,60.643,17.93,32,0,1.95,IR,1674579095
108,east london,-33.0153,27.9116,18.52,88,75,6.69,ZA,1674578544
109,labuhan,-6.8844,112.2051,25.94,85,100,1.84,ID,1674578787
110,omsukchan,62.5333,155.8,-25.64,98,100,2.0,RU,1674579096
111,maiduguri,11.8464,13.1603,28.24,13,72,4.24,NG,1674579096
112,campbell river,50.0163,-125.2446,5.74,100,100,1.54,CA,1674579096
113,airai,-8.9266,125.4092,16.14,94,100,0.46,TL,1674578834
114,mogok,22.9167,96.5,12.62,46,4,0.79,MM,1674579097
115,llanes,43.4198,-4.7549,8.04,85,100,3.31,ES,1674579098
116,awbari,26.5921,12.7805,17.96,15,2,5.05,LY,1674579098
117,mount gambier,-37.8333,140.7667,10.94,94,7,1.1,AU,1674578778
118,tiverton,50.9,-3.4833,3.91,85,10,0.89,GB,1674579099
119,sabla,12.7525,4.7077,33.15,9,61,3.25,NG,1674579099
120,mataura,-46.1927,168.8643,6.45,99,19,0.91,NZ,1674578739
121,barcelos,41.5388,-8.6151,12.05,61,0,1.5,PT,1674579042
122,margate,51.3813,1.3862,4.94,82,90,1.34,GB,1674578688
123,vucje,42.8653,21.9114,3.44,93,100,1.57,RS,1674579100
124,pitimbu,-7.4706,-34.8086,29.33,64,26,5.04,BR,1674578796
125,saskylakh,71.9167,114.0833,-24.99,100,100,0.19,RU,1674578828
126,eidsvag,62.7767,8.0668,13.36,97,100,3.87,NO,1674579101
127,beringovskiy,63.05,179.3167,-24.37,96,93,5.78,RU,1674578818
128,dikson,73.5069,80.5464,-20.15,95,100,14.66,RU,1674578954
129,nikolskoye,59.7035,30.7861,-1.06,94,99,3.25,RU,1674579013
130,zalantun,48.0,122.7167,-27.28,79,9,1.99,CN,1674578989
131,itarema,-2.9248,-39.9167,29.23,61,58,4.32,BR,1674578851
132,atuona,-9.8,-139.0333,26.02,74,2,8.76,PF,1674578729
133,beloha,-25.1667,45.05,24.43,78,83,9.42,MG,1674578861
134,marsabit,2.3284,37.9899,24.79,34,64,4.98,KE,1674579103
135,de-kastri,51.4667,140.7833,-27.9,97,100,7.09,RU,1674579104
136,katsuura,35.1333,140.3,-0.29,47,100,14.44,JP,1674579033
137,areosa,41.7178,-8.8571,10.99,56,0,1.75,PT,1674579105
138,turukhansk,65.8167,87.9833,-33.03,91,12,3.13,RU,1674578883
139,oranjemund,-28.55,16.4333,19.06,75,5,11.09,,1674579106
140,barrow,71.2906,-156.7887,-21.99,77,100,10.8,US,1674579106
141,anadyr,64.75,177.4833,-21.72,77,0,5.0,RU,1674579107
142,marzuq,14.4,46.4667,17.2,78,2,3.56,YE,1674579107
143,lamu,-2.2717,40.902,27.12,83,100,4.47,KE,1674579107
144,half moon bay,37.4636,-122.4286,12.93,59,0,5.66,US,1674578854
145,ouegoa,-20.35,164.4333,26.05,84,9,2.25,NC,1674579108
146,kodiak,57.79,-152.4072,2.73,87,100,2.06,US,1674578740
147,marrakesh,31.6315,-8.0083,16.04,25,0,4.63,MA,1674579109
148,ballina,-28.8667,153.5667,20.56,99,92,2.0,AU,1674579109
149,lorengau,-2.0226,147.2712,25.53,83,100,1.31,PG,1674578873
150,sicamous,50.8331,-118.9856,-3.78,94,100,0.74,CA,1674579110
151,aksha,50.2814,113.2867,-30.27,91,93,1.21,RU,1674579111
152,hermanus,-34.4187,19.2345,19.89,53,90,6.51,ZA,1674578965
153,provideniya,64.3833,-173.3,-20.35,82,0,7.11,RU,1674579043
154,cuamba,-14.8031,36.5372,20.43,93,100,1.15,MZ,1674579113
155,kivsharivka,49.6213,37.7036,-2.17,70,8,3.82,UA,1674579113
156,ritchie,-29.038,24.6028,27.56,23,74,8.25,ZA,1674579114
157,nabire,-3.3667,135.4833,24.37,91,100,1.17,ID,1674579114
158,codrington,-38.2667,141.9667,12.66,87,26,0.42,AU,1674578982
159,hobyo,5.3505,48.5268,24.61,73,79,9.34,SO,1674579115
160,wilmington,34.2257,-77.9447,11.61,51,0,2.06,US,1674579115
161,lima,-12.0432,-77.0282,23.14,73,20,5.66,PE,1674578527
162,ohrid,41.1172,20.8019,5.94,75,75,2.57,MK,1674579116
163,raga,8.4596,25.678,27.54,19,33,1.89,SS,1674579117
164,umm lajj,25.0213,37.2685,23.06,64,0,2.98,SA,1674578872
165,atbasar,51.8,68.3333,-19.42,100,73,2.96,KZ,1674579117
166,batagay,67.6333,134.6333,-47.76,98,29,1.43,RU,1674579118
167,lebu,-37.6167,-73.65,17.2,63,2,6.39,CL,1674579118
168,georgetown,5.4112,100.3354,24.99,88,20,1.54,MY,1674579036
169,banes,20.9625,-75.7186,28.13,53,5,6.26,CU,1674579119
170,fairbanks,64.8378,-147.7164,-19.02,76,75,0.0,US,1674578768
171,tasiilaq,65.6145,-37.6368,-7.91,67,99,2.8,GL,1674578784
172,geraldton,-28.7667,114.6,22.23,83,100,7.2,AU,1674578747
173,khatanga,71.9667,102.5,-39.04,96,68,3.19,RU,1674578686
174,rovaniemi,66.5,25.7167,-6.33,93,0,3.6,FI,1674579121
175,chimoio,-19.1164,33.4833,26.92,65,75,0.52,MZ,1674579121
176,santiago del estero,-27.7951,-64.2615,40.18,23,0,7.28,AR,1674578985
177,sonari,27.0667,95.0333,18.03,56,44,1.34,IN,1674579122
178,bambous virieux,-20.3428,57.7575,24.14,88,75,1.54,MU,1674578846
179,labuan,5.2767,115.2417,25.2,94,40,2.68,MY,1674579123
180,severo-kurilsk,50.6789,156.125,-4.25,74,100,11.67,RU,1674579044
181,chunhuhub,19.55,-88.6833,30.5,47,45,3.38,MX,1674579124
182,yining,29.0361,114.5636,-1.49,47,0,1.08,CN,1674579124
183,cherskiy,68.75,161.3,-32.08,98,100,1.22,RU,1674578741
184,san felipe,10.3399,-68.7425,30.52,50,96,2.28,VE,1674579125
185,amahai,-3.3333,128.9167,25.61,87,99,1.05,ID,1674579126
186,itapirapua,-15.8233,-50.6133,26.44,80,100,1.43,BR,1674579098
187,grand-santi,4.25,-54.3833,28.24,63,60,2.45,GF,1674579127
188,chute-aux-outardes,49.1168,-68.399,-4.01,80,75,6.69,CA,1674579127
189,tema,5.667,-0.0166,29.75,64,36,5.29,GH,1674579128
190,salinopolis,-0.6136,-47.3561,26.21,86,77,4.8,BR,1674579129
191,haines junction,60.7522,-137.5108,-6.95,98,100,1.38,CA,1674578679
